,model,feature_group,feature,imp_mean,imp_std
27,KNeighborsRegressor,basic,entire_home_apt,0.05588812110604877,0.013128201628073983
28,KNeighborsRegressor,spatial+basic,person_capacity,0.3911648929695968,0.012197185043491371
29,KNeighborsRegressor,spatial+basic,bedrooms,0.3618011024512639,0.024660598071582853
30,KNeighborsRegressor,spatial+basic,lng,0.2817666093004821,0.010927353608944194
31,KNeighborsRegressor,spatial+basic,lat,0.27385637734919455,0.013034875210427923
32,KNeighborsRegressor,spatial+basic,dist,0.2729418777689526,0.01500758200018326
33,KNeighborsRegressor,spatial+basic,rest_index,0.2614733075520864,0.006165951673539377
34,KNeighborsRegressor,spatial+basic,attr_index,0.2501808331330221,0.006216024441010613
35,KNeighborsRegressor,spatial+basic,metro_dist,0.24150538906209246,0.014372323323313807
36,KNeighborsRegressor,spatial+basic,host_is_superhost,0.14813720262977306,0.019526074496053206
37,KNeighborsRegressor,spatial+basic,entire_home_apt,0.12178061681656553,0.0043533765406807935
38,KNeighborsRegressor,spatial+basic,room_private,0.12178061681656553,0.0043533765406807935
39,KNeighborsRegressor,quality+basic,person_capacity,0.15817753352049238,0.007755175153428083
40,KNeighborsRegressor,quality+basic,bedrooms,0.13429976180646785,0.007959996862370759
41,KNeighborsRegressor,quality+basic,room_private,0.0376694298856848,0.005843778874954367
42,KNeighborsRegressor,quality+basic,entire_home_apt,0.036763333954000374,0.0058988662951226555
43,KNeighborsRegressor,quality+basic,cleanliness_rating,0.027937443588382415,0.005360220851168539
0,DecisionTreeRegressor,all,attr_index,0.4310731060563763,0.021461418974701472
1,DecisionTreeRegressor,all,person_capacity,0.3660777812687487,0.046030885823813886
2,DecisionTreeRegressor,all,rest_index,0.3394635109713396,0.03316314410106208
3,DecisionTreeRegressor,all,entire_home_apt,0.2686245580607539,0.01806254170797566
4,DecisionTreeRegressor,all,lng,0.26186926564038043,0.03983071870856626
5,DecisionTreeRegressor,all,bedrooms,0.20033175677191464,0.02582890420330168
6,DecisionTreeRegressor,all,lat,0.17017927605194655,0.053538802157843
7,DecisionTreeRegressor,all,dist,0.12865681844711976,0.016165632168945215
8,DecisionTreeRegressor,all,guest_satisfaction_overall,0.08331181210910259,0.0314579412536265
9,DecisionTreeRegressor,all,cleanliness_rating,0.06809422564349565,0.015269836639209158
10,DecisionTreeRegressor,all,biz,0.060591331681903046,0.020582220248528963
11,DecisionTreeRegressor,all,metro_dist,0.048628931173071946,0.014850633394907243
12,DecisionTreeRegressor,spatial,attr_index,0.2564900151124069,0.022787296346517827
13,DecisionTreeRegressor,spatial,lat,0.07806083144565852,0.020364387286165356
14,DecisionTreeRegressor,spatial,rest_index,0.03745618331317877,0.004391439851282843
15,DecisionTreeRegressor,quality,cleanliness_rating,0.12811860020750723,0.01199434633238576
16,DecisionTreeRegressor,quality,guest_satisfaction_overall,0.09040484691581419,0.01934912581809031
17,DecisionTreeRegressor,basic,entire_home_apt,0.30704015239666455,0.029501665085116514
18,DecisionTreeRegressor,basic,person_capacity,0.27086592007235366,0.031036151388267916
19,DecisionTreeRegressor,basic,bedrooms,0.20713596759225245,0.028914190668424888
20,DecisionTreeRegressor,spatial+basic,attr_index,0.9205141245866606,0.07931541641091454
21,DecisionTreeRegressor,spatial+basic,lng,0.8766117800871038,0.028684569245683564
22,DecisionTreeRegressor,spatial+basic,person_capacity,0.6418309223059521,0.033668892708396375
23,DecisionTreeRegressor,spatial+basic,rest_index,0.5942654225341325,0.04095254282829962
24,DecisionTreeRegressor,spatial+basic,entire_home_apt,0.4540237518319161,0.03849800464278465
25,DecisionTreeRegressor,spatial+basic,lat,0.3990112667908915,0.04246758784154779
26,DecisionTreeRegressor,spatial+basic,dist,0.3268100270052273,0.024652144948361595
27,DecisionTreeRegressor,spatial+basic,bedrooms,0.3108447998950453,0.039721558692082784
28,DecisionTreeRegressor,spatial+basic,metro_dist,0.2997613532700537,0.03172225316877762
29,DecisionTreeRegressor,spatial+basic,host_is_superhost,0.08071058442530332,0.03974265331666587
30,DecisionTreeRegressor,quality+basic,entire_home_apt,0.2966278466329326,0.02983207290650478
